City_ID,City,Country,Lat,Lng,Max Temp (F),% Humidity,% Cloudiness,Wind Speed (mph),Current Description,Rain (inches),Snow (inches)
201,Dikson,RU,73.51,80.55,44.19,100,99,15.95,overcast clouds,0.0,0.0
202,Olafsvik,IS,64.89,-23.71,54.91,85,99,6.73,overcast clouds,0.0,0.0
203,San Policarpo,PH,12.18,125.51,77.85,88,100,3.44,light rain,0.22,0.0
204,Lorengau,PG,-2.02,147.27,82.67,76,92,10.63,overcast clouds,0.0,0.0
205,Freeport,US,40.66,-73.58,90.0,58,1,11.41,clear sky,0.0,0.0
206,Souillac,MU,-20.52,57.52,71.6,83,40,6.93,scattered clouds,0.0,0.0
207,Nisia Floresta,BR,-6.09,-35.21,82.4,74,20,17.22,few clouds,0.0,0.0
208,Agapovka,RU,53.3,59.13,50.0,66,35,11.18,scattered clouds,0.0,0.0
209,Curuguaty,PY,-24.47,-55.69,71.29,65,11,4.79,few clouds,0.0,0.0
210,Paamiut,GL,61.99,-49.67,40.41,90,80,8.84,broken clouds,0.0,0.0
211,Sorong,ID,-0.88,131.25,78.28,82,100,4.25,overcast clouds,0.0,0.0
212,Miri,MY,4.41,114.01,77.0,100,20,2.24,few clouds,0.0,0.0
213,Majene,ID,-3.54,118.97,76.1,87,45,8.75,scattered clouds,0.0,0.0
214,Bambous Virieux,MU,-20.34,57.76,73.0,83,40,6.93,scattered clouds,0.0,0.0
215,Verkhnevilyuysk,RU,63.45,120.32,64.18,64,98,3.6,overcast clouds,0.0,0.0
216,Mersing,MY,2.43,103.84,77.0,94,85,4.7,overcast clouds,0.0,0.0
217,Hermanus,ZA,-34.42,19.23,50.0,92,21,14.29,few clouds,0.0,0.0
218,Tasiilaq,GL,65.61,-37.64,42.8,87,100,12.75,moderate rain,0.0,0.0
219,Aligudarz,IR,33.4,49.69,62.06,27,0,2.06,clear sky,0.0,0.0
220,Vostok,RU,46.49,135.88,48.54,94,83,2.57,broken clouds,0.0,0.0
221,Puerto Colombia,CO,10.99,-74.95,73.4,100,75,9.17,thunderstorm with rain,0.0,0.0
222,Saint Anthony,US,45.02,-93.22,87.01,54,75,16.11,broken clouds,0.0,0.0
